ID,x,y
745,612115.245,9630234.725
746,612137.451,9630204.192
747,612169.371,9630179.211
748,612201.292,9630159.781
749,612227.661,9630134.8
750,612238.763,9630107.043
751,612222.109,9630083.45
752,612134.675,9630052.917
753,612027.811,9630022.385
754,611979.237,9630004.343
755,611958.419,9629977.974
756,611929.274,9629936.338
757,611875.49,9629906.896
758,611798.133,9629917.559
759,611725.608,9629908.755
760,611648.583,9629868.161
761,611578.844,9629868.161
762,611509.105,9629911.878
763,611454.568,9629971.041
764,611406.058,9629993.066
765,611347.768,9629986.821
766,611304.204,9629970.367
767,611254.089,9629939.981
768,611153.123,9629925.409
769,611108.365,9629968.085
770,611053.199,9630035.743
771,611006.676,9630099.12
772,610924.129,9630114.85
773,610861.676,9630139.831
774,610847.641,9630157.488
775,610847.404,9630272.675
776,610847.188,9630377.519
777,610799.088,9630459.139
778,610770.519,9630494.068
779,610705.749,9630556.928
780,610674,9630575.348
781,610653.68,9630581.698
782,610537.471,9630618.527
783,610519.691,9630638.207
784,610510.801,9630659.797
785,610504.451,9630691.547
786,610503.181,9630712.506
787,610508.261,9630758.856
788,610515.251,9630781.086
789,610545.731,9630850.295
790,610587.001,9630912.524
791,610627.64,9630949.994
792,610670.19,9630976.664
793,610713.37,9630995.714
794,610724.8,9630996.344
795,610736.229,9630993.174
796,610752.739,9630974.124
797,610764.169,9630953.164
798,610777.499,9630921.414
799,610800.999,9630854.745
800,610848.708,9630800.225
801,610848.728,9630821.185
802,610790.199,9631002.063
803,610782.579,9631033.813
804,610778.769,9631054.133
805,610776.749,9631067.503
806,610771.749,9631137.982
807,610771.749,9631167.542
808,610768.409,9631206.052
809,610734.92,9631262.971
810,610704.79,9631293.111
811,610679.67,9631324.92
812,610634.471,9631363.43
813,610592.611,9631390.21
814,610554.102,9631415.33
815,610518.952,9631438.77
816,610485.462,9631455.509
817,610453.653,9631473.929
818,610423.513,9631495.689
819,610408.453,9631509.079
820,610398.403,9631527.499
821,610399.013,9631532.579
822,610403.943,9631541.099
823,610411.793,9631547.589
